REPRESENTANTE,LOJA,ESTADO,CIDADE,ENDERECO,CEP,CELULAR,Latitude,Longitude
HF motos,HF motos,PR,Arapongas,,86700-075,4330564060,-233.773.535,-514.432.099
HF motos,HF motos,PR,Apucarena,,86800-007,43999760683,-2.478.333,-5.116.667
HF motos,HF motos,PR,Londrina,,86082-000,4330144682,-232.596.331,-511.695.954
O Tijolao Motos,Tijolao Motos,PR,Ivaipora,,86870-000,43996967501,-242.436.433,-516.733.885
O Tijolao Motos,Tijolao Motos,PR,Lunardeli,,86935-000,43996967501,-240.721,-51.76
O Tijolao Motos,Tijolao Motos,PR,Lidianopolis,,86865-000,43996967501,-240.424.596,-51.625.244
Marcell Veiculos Eletricos,Marcell Veiculos Eletricos,PR,Campo Mourão,Av capitão índio bandeira 21320,87300-005,44999659799,-240.387.913,-523.719.149
Urbe Mobilidade Eletrica,Urbe Mobilidade Eletrica,PR,Maringá,Avenida Presidente Juscelino Kubitschek de Oliveira que está localizado no bairro Zona 02,87010-440,4498473355,,
Sandro Aguiar Cavalheiro,Sandro Aguiar Cavalheiro,SP,Primavera,"Rua Usina de Canoas, 1035",18272-078,18981214329,-225.329.376,-529.519.432
Johny Resolve,Johny Resolve,MS,Navirai,Avenida vicente marques da silva.183,79950-000,67999584577,-230.745.266,-54.189.967
KVA ELETRIC ENGENHARIA,KVA ELETRIC ENGENHARIA,PR,Andirá,Av. Major Barbosa Ferraz Jr 1510,86380-000,4498473355,-230.550.637,-502.270.686
